oem_name
Ford
Volvo
Toyota
Acura
Alfa Romeo
Aston Martin
Audi
BMW
Buick
Cadillac
Chevrolet
Chrysler
Dodge
Ram
GMC
Honda
Hyundai
Infiniti
Jaguar
Jeep
Kia
Land Rover
Lexus
Lincoln
Mazda
Mercedes-Benz
Nissan
Polestar
Porsche
Saab
Scion
Subaru
Suzuki
Tesla
Volkswagen
